model_name,hidden_size,train_count,val_count,test_count,max_sequence_length,input_min,input_max,early_stop_epoch,test_error
L1NormGRU,16,30000,10000,10000,20,-20,20,50,0.006417579483240843
L1NormLSTM,16,30000,10000,10000,20,-20,20,28,0.05099713057279587
L1NormGRU,16,30000,10000,10000,40,-20,20,26.0,0.0972396582365036
L1NormLSTM,16,30000,10000,10000,40,-20,20,47.0,0.036750808358192444
L1NormGRU,16,30000,10000,10000,80,-20,20,40.0,0.15049567818641663
L1NormLSTM,16,30000,10000,10000,80,-20,20,,0.06646795570850372
L1NormGRU,32,30000,10000,10000,40,-20,20,35.0,0.02499847486615181
L1NormLSTM,32,30000,10000,10000,40,-20,20,,0.024552682414650917
L1NormGRU,32,30000,10000,10000,80,-20,20,22.0,0.581799328327179
L1NormLSTM,32,30000,10000,10000,80,-20,20,35.0,0.16124537587165833
L1NormGRU,32,80000,30000,30000,80,-20,20,39,0.017480606213212013
L1NormLSTM,32,80000,30000,30000,80,-20,20,26,0.050795894116163254
L1NormGRU,32,80000,30000,30000,40,-20,20,20,0.01631542108952999
L1NormLSTM,32,80000,30000,30000,40,-20,20,23,0.01753677986562252
L1NormGRU,64,80000,30000,30000,40,-20,20,24,0.008297612890601158
L1NormLSTM,64,80000,30000,30000,40,-20,20,20,0.01964176446199417
L1NormGRU,64,80000,30000,30000,80,-20,20,31.0,0.023021720349788666
L1NormLSTM,64,80000,30000,30000,80,-20,20,22.0,0.05040667578577995
